spec,longitude,latitude
Urocyon cinereoargenteus,-100.4541837892,29.6095167925
Urocyon cinereoargenteus,-77.6908116667,42.498455
Urocyon cinereoargenteus,-85.0386388889,35.9756333333
Urocyon cinereoargenteus,-111.6393830544,33.5489860545
Urocyon cinereoargenteus,-78.1814072476,39.4210517429
Urocyon cinereoargenteus,-82.7859001253,28.1550792539
Urocyon cinereoargenteus,-110.9196357429,34.1275821394
Urocyon cinereoargenteus,-96.7304676392,17.0402339127
Urocyon cinereoargenteus,-71.0057527833,41.6810833333
Urocyon cinereoargenteus,-72.6203675196,42.1071639535
Urocyon cinereoargenteus,-89.9674121663,20.1680916176
Urocyon cinereoargenteus,-88.5730543191,35.6040769484
Urocyon cinereoargenteus,-105.5594633333,37.6216866667
Urocyon cinereoargenteus,-97.7262444656,31.4676584609
Urocyon cinereoargenteus,-79.7638594961,41.160031127
Urocyon cinereoargenteus,-97.5632304854,32.3595597925
Urocyon cinereoargenteus,-90.2348087298,18.6457113284
Urocyon cinereoargenteus,-98.7956488221,19.4596167472
Urocyon cinereoargenteus,-87.3216705322,30.6585788727
Urocyon cinereoargenteus,-76.9906255834,36.4690872581
Urocyon cinereoargenteus,-105.8441916667,31.2997166667
Urocyon cinereoargenteus,-121.2241883333,38.97422
Urocyon cinereoargenteus,-107.117388889,27.0972777778
Urocyon cinereoargenteus,-100.594694444,22.0007777778
Urocyon cinereoargenteus,-107.743555556,30.8722222222
Urocyon cinereoargenteus,-102.868138889,27.26725
Urocyon cinereoargenteus,-114.037,27.3621944444
Urocyon cinereoargenteus,-101.853694444,28.2648055556
Urocyon cinereoargenteus,-108.817194444,30.4711388889
Urocyon cinereoargenteus,-100.335527778,19.36825
Urocyon cinereoargenteus,-100.352194444,21.9533333333
